LONGITUD LATITUDE NUM_PICK FARE_PIC TIP_PICK FPD_PICK TPD_PICK TPF_PICK NUM_DROP FARE_DRO FARE_TIP FPD_DROP TPD_DROP TPF_DROP
 -73.980   40.700        4    5.875    1.240    7.491    1.552    0.211       21   15.048    2.075    4.867    0.814    0.138
 -73.980   40.710      273   11.691    1.246    5.288    0.511    0.107      688   10.732    1.145    4.823    0.491    0.107
 -73.980   40.720     3605   10.036    1.266    5.719    0.690    0.126     2299    9.394    1.038    5.752    0.581    0.110
 -73.980   40.730     8833   10.066    1.196    6.026    0.711    0.119     6143    9.277    1.011    6.190    0.655    0.109
 -73.980   40.740    32209    9.448    1.176    6.868    0.835    0.124    25249    9.592    1.158    7.347    0.848    0.121
 -73.980   40.750    70205    9.438    1.085    7.044    0.819    0.115    82253    9.603    1.251    7.054    0.895    0.130
 -73.980   40.760    43542    9.147    1.025    6.654    0.745    0.112    61470    9.326    1.118    6.977    0.820    0.120
 -73.980   40.770    10911    8.999    1.122    5.947    0.735    0.125    10266    8.450    0.994    5.871    0.698    0.118
 -73.980   40.780    28986    9.108    1.126    5.835    0.713    0.124    27492    8.382    0.934    5.890    0.673    0.111
 -73.980   40.790    14187    9.741    1.171    5.874    0.669    0.120     9365    8.366    0.990    6.317    0.711    0.118
 -73.980   40.800       15   12.013    1.902    5.261    0.754    0.158      186    9.449    1.028    5.692    0.649    0.109
 -73.980   40.810        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.980   40.820        1    9.500    1.900    4.130    0.826    0.200        3   27.167    0.900    4.975    0.421    0.033
 -73.980   40.830        1   12.500    2.500    7.440    1.488    0.200        2   64.250   16.760    5.283    1.278    0.261
 -73.980   40.840        1   14.000    2.960    3.825    0.809    0.211        1    8.500    2.320    4.427    1.208    0.273
 -73.980   40.850        3   28.667    4.207    7.979    0.935    0.147        4   54.000    9.405    7.397    1.128    0.174
 -73.980   40.860        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.980   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.970   40.680      112   10.272    1.415    5.532    0.928    0.138      231   17.181    2.158    4.566    0.662    0.126
 -73.970   40.690      105   11.681    1.651    5.007    0.587    0.141      290   17.177    2.165    4.435    0.544    0.126
 -73.970   40.700       40    9.375    1.340    9.540    6.975    0.143      264   16.184    1.199    4.940    1.263    0.074
 -73.970   40.710      358   12.247    1.676    5.200    0.732    0.137     1013   15.183    2.022    4.330    0.582    0.133
 -73.970   40.720       10   16.600    1.877    5.679    0.709    0.113       59   19.517    2.129    4.120    0.476    0.109
 -73.970   40.730        6    8.417    1.845    7.810    1.561    0.219        8    8.562    1.246    6.762    1.065    0.146
 -73.970   40.740      277   10.329    1.010    7.036    0.715    0.098      758   10.271    1.110    6.397    0.649    0.108
 -73.970   40.750    26433    9.427    1.035    7.102    0.759    0.110    21386    9.194    1.077    6.711    0.752    0.117
 -73.970   40.760    51381    8.551    0.990    6.881    0.776    0.116    50227    8.681    1.008    6.987    0.790    0.116
 -73.970   40.770    28490    8.746    0.992    6.670    0.739    0.113    33423    8.729    0.896    6.444    0.674    0.103
 -73.970   40.780     6164    9.142    1.087    5.903    0.697    0.119     5280    8.519    0.944    5.899    0.650    0.111
 -73.970   40.790    12546    9.368    1.082    5.505    0.617    0.115     6912    8.584    0.955    5.729    0.624    0.111
 -73.970   40.800     7269   10.784    1.301    5.502    0.630    0.121     7676    9.896    1.153    5.440    0.621    0.117
 -73.970   40.810      688   11.538    1.448    5.204    0.597    0.126     1322   11.376    1.358    5.015    0.587    0.119
 -73.970   40.820        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.970   40.830        1   17.000    4.450    3.778    0.989    0.262        2   11.000    2.225    4.667    0.494    0.202
 -73.970   40.840        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.970   40.850        1   10.000    0.000    5.000    0.000    0.000        5   25.400    3.112    4.207    0.305    0.123
 -73.970   40.860        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.970   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.960   40.680       52   12.475    1.504    4.628    0.544    0.121      128   18.052    2.189    4.474    0.603    0.121
 -73.960   40.690       67   11.749    0.977    5.172    0.379    0.083      128   19.262    1.526    4.312    0.350    0.079
